tag_id,tag_name
20,ruby-on-rails
1590,system-administration
26,html5
201,scala
46,android
18,mysql
65,python
28,javascript
29,mobile
58,java
1599,developer
30,jquery
100,matlab
21,sql
52,linux
1999,software
27,css
274,business-intelligence
25,php
773,app-design
275,qa
17,api
33,hadoop
102,selenium
98,ruby
489,finance
290,agile
68,chef
278,design
373,web-development
2199,salesforce
93,ios
560,big-data
329,support
1136,single-sign-on
14979,ar
51,unix
151,kanban
62,mongodb
1239,admin
311,cto
7398,product-management
1987,data
893,machine-learning
21327,ux-frontend
1502,devops
204,aws
1522,mobile-apps
1852,fashion
1980,product
612,analytics
31,uxui
520,frontend-development
301,business-development
662,account-management
282,backend
377,c
3061,ios-developer
133,git
4422,systemadministration
1816,development
4016,angular
1562,mssql
523,r
3541,woocommerce
295,ecommerce
1396,senior-developer
2116,engineer
54,html
4029,frontend-developer
1862,engineering-2
73,xml
17158,contract
1660,integrations
203,css3
104,rails
2330,laravel
470,node-js
675,scrum
289,testing
4399,frontend
592,phyton
323,ux
1808,go
3784,front-end
2059,cad
66,django
18454,service-cloud
139,objective-c
61,redis
2229,database
21083,customer-solution-manager
60,nosql
526,symfony
15161,identity-management
3574,distributed-systems
2117,quality-assurance
527,backend-development
4102,continuous-deployment
2241,tv
1373,kafka
1267,mac
1307,teamleading
2459,sysadmin
1910,lead
1733,continuous-delivery
20348,99chairs
2598,data-science
1490,rtb
6464,it-helpdesk
115,groovy
2352,team-lead
2986,functional-programming
3638,computer-vision
17084,backend-developer
4096,ansible
170,rest
1277,linuxunix
2055,product-owner
1871,test-engineer
1832,manager
1865,app
3431,mobile-design
549,jira
1305,crm
1745,digital
1614,google-cloud
2254,innovation
762,project-management
2983,golang
890,nagios
2434,cloudformation
2035,mobile-development
891,nodejs
4659,react
21190,tensor-flow
3829,software-engineer
21169,embedded-engineering
2431,sass
21109,ict
2481,restful
2402,bi
110,json
2201,saas
2381,africa
948,bootstrap
1005,html-5
2817,word-press
1993,junior
6277,opsworks
3127,tester
1588,elasticsearch
1567,web
21098,elixir-and-ruby
2245,3d-printing
21091,sales-cloud
975,unit-testing
638,oop
1806,software-development
3774,healthcare
20697,sso
5202,apache-spark
3658,automated-testing
5871,elixir
5482,docker
4278,rest-apis
1676,hive
2040,windows
1840,teamleader
4484,it-support
3120,health
2694,integration
2644,head
1566,games
4952,programmatic
21294,internal-it
5745,full-stack-development
4461,deep-learning
981,angularjs
5824,operations-engineer
1115,software-testing
2034,kreuzberg
5286,uiux-design
21338,managing-teams
1817,strategy
4273,react-js
3500,full-stack
2902,customer-success
6690,blockchain
2526,ec2
16302,gce
3259,music-streaming
4546,fintech
14115,redux
2420,automation
782,working-student
2825,asp-net
172,perl
4658,embedded
4060,spark
5593,solution
4897,fullstack
19369,frontend-developmenr
7040,social-impact
3559,impala
1309,less
1240,test
6037,sencha
1455,tdd
6644,ml
17125,backend-entwicklung
17546,marketing
1998,back-end
3217,software-tester
21116,big-data-visualization
7022,bigquery
1516,angular-js
1447,agile-development
3542,ios-sdk
72,postgresql
679,ror
19421,pre-sales-engineer
2509,akka
4039,rest-api
1857,architecture
4510,swift
1924,senior
6029,apache-kafka
21214,manuel-testing
815,unity
15797,react-native
4098,iot
21221,phoenix
6479,microservices
17762,back-end-developer
2600,infrastructure
21291,system-aministrator
336,ui
3409,e-learning
3241,ember-js
1668,adobe-creative-suite
21300,playable-ads
7291,engineering-lead
17857,mesos
7184,neural-networks
380,zend
3898,apis
2088,analyst
17437,ethereum
19323,javascipt
16650,engineering
16969,java8
5998,rxjava
15049,es6
6626,ionic
2099,hardware
4213,rdbms
3091,test-automation
5014,typescript
19752,solutions
21143,web-apps
21132,ext-js
15981,spring-boot
3582,pandas
2560,node
21102,fronten-development
19781,retail-banking
1514,data-scientist
21113,datadogr
16544,kubernetes
2867,play
20884,customizing
5590,clean-code
18005,angular2
21084,field-engineer
6643,bigdata
18021,watchos
2207,scripting
16572,apache-flink
17017,vr
6329,hdfs
15365,hybrid
6876,service-desk
3824,chief-technology-officer
15379,qunit
21301,game-studio
6762,reactjs
21319,generative-adversarial-network
15903,mobile-testing
15367,framework
16670,apex
21335,feathers
20957,solidity
20843,software-entwicklung
17170,devop
2001,music
20802,spring-cloud
870,github
7463,mvp
15447,ble
2601,technology
2188,cms
20866,gerrit
21168,deloper
6688,smarty
5234,numpy
21088,rest-api-oauth2
5901,restful-api
15653,yarn
21305,medical-education
2435,ux-design
21315,signalr
16672,visualforce
3016,jsp
21342,javescript
17285,aws-infrastructure
21200,netflix-stack
1656,jenkins
21194,retrofit
16989,internship
3079,adtech
20641,datenbanken
4885,responsive-web-design
136,mvc
18025,flink
6281,htlm
1984,customer
21334,amp
21202,route-53
16414,webpack
21195,dagger2
15421,tv-marketing
21165,yaml
21135,datenbank
21210,aws-lambda
21276,windows-operating-system
20881,jupyter
5785,projects
21203,elasticache
21136,php-anwendung
1810,server
21211,aws-devops
21289,vue-js
467,gui
21272,hue
21204,rds
17577,csss
21137,php-anwendungen
1142,dry
7132,system-engineer
1248,programming
21085,puthon
1249,software-engineering
1547,frameworks
1809,programmer
1896,software-developer
1937,web-portal
3877,web-service
5500,patterns
17708,solid
17962,information-technology
21247,server-side
21248,mit-license
21249,model-view-controller
21251,web-standards
21252,data-transfer
21253,javascript-for-display
21254,user-interfacing
21255,paradigms
21256,convention-over-configuration
21257,coc
21259,web-application-framework
21260,server-side-web-application-framework
21261,webframework
21262,senior-ruby-on-rails-developer
21263,sofware-developer
21264,kiss
21265,web-portale
21266,internet-anwendungen
21267,frontendlosung
21268,frontendlosungen
1600,mobile-games
4874,scrum-master
14603,agile-coach
2482,technical-support
2834,mobile-app
