job_id,published_on,updated_on,company,slug,role,link,description,tags
158589,"Thu, 26 Oct 2017 13:38:16 Z",2017-10-26T13:38:16Z,mytaxi (Intelligent Apps GmbH),devops-engineer-m-f-berlin-mytaxi-intelligent-apps-gmbh?a=RbwkYgeDBYY,"DevOps Engineer (m/f) Berlin at mytaxi (Intelligent Apps GmbH) (Berlin, Deutschland)",https://stackoverflow.com/jobs/158589/devops-engineer-m-f-berlin-mytaxi-intelligent-apps-gmbh?a=RbwkYgeDBYY,"About UsBeat is a platform that transforms the way people move in their cities. Tap on a button on your smartphone and you get a ride in just a few minutes.In early 2017 Mytaxi, a subsidiary of Daimler A.G, acquired Beat. Beat started its life as Taxibeat, 6 years ago in Europe and 3 years ago expanded its operations to Peru where it serves millions of rides every single month. It is already establishing its position in South America with Chile being the latest new market and Colombia following soon.How are we going to achieve that?By constantly growing our world-class engineering team and developing our elastic, automated infrastructure. To this end, as part of our new engineering hub in Berlin we are looking for exceptionally talented DevOps Engineers to work alongside our colleagues in Athens in automating, monitoring, securing, designing and deploying our production systems. Sounds exciting enough? Find out more about this role below and let's transform the future of urban mobility together. About the roleWe are looking for a DevOps Engineer to join our fantastic highly skilled development team and to help us manage, develop and extend our robust cloud based infrastructure. Beat has numerous custom, complex systems running in our data centers to provide traffic and routing information. We are looking for someone who loves Linux, who is intimately familiar with cloud infrastructure, and with a strong understanding of scaling and load management. The successful candidate will be a team player, capable of collaborating in a fast paced, DevOps oriented environment. What will you have to do day in day out:Help us build our future container-based deployment strategies.Write automation tools for system and application maintenanceHelp solve business needs with technology by evaluating different technology options and vendor productsSystem troubleshooting and problem solving across platform and application domains - will be expected to participate in on-call escalations to troubleshoot customer facing issues What you need to have:BS in Computer Science or equivalent experience. Higher degrees are appreciatedVery good knowledge of Linux operating systemsSolid understanding of Software Development Life Cycles, Test Driven Development, Continuous Integration and Continuous Delivery and DeploymentComfortable with Agile methodologies and working closely within small teamsYou also have experience on these skills:Amazon Web Services (we are heavily integrated into AWS)Container technologies like Docker (This would be a major plus)Configuration management tools like Puppet, Chef, AnsibleContinuous integration tools like JenkinsMonitoring tools like Prometheus, Nagios, Zabbix, Cacti What's in it for youThe chance to bring in your own ideasA strong team spiritExcellent monetary benefits (a pension plan, a monthly mobility allowance for free taxi rides, subsidised public transport ticket)Have your birthday off!As part of our dedication to the diversity of our workforce, Beat is committed to Equal Employment Opportunity without regard for race, colour, national origin, ethnicity, gender, disability, sexual orientation, gender identity, or religion.","['linux', 'devops', 'amazon-web-services', 'docker', 'jenkins']"
158588,"Thu, 26 Oct 2017 13:35:41 Z",2017-10-26T13:35:41Z,mytaxi (Intelligent Apps GmbH),data-scientist-m-f-berlin-mytaxi-intelligent-apps-gmbh?a=Rbv32JHgroQ,"Data Scientist (m/f), Berlin at mytaxi (Intelligent Apps GmbH) (Berlin, Deutschland)",https://stackoverflow.com/jobs/158588/data-scientist-m-f-berlin-mytaxi-intelligent-apps-gmbh?a=Rbv32JHgroQ,"About UsBeat is a platform that transforms the way people move in their cities. Tap on a button on your smartphone and you get a ride in just a few minutes.In early 2017 Mytaxi, a subsidiary of Daimler A.G, acquired Beat. Beat started its life as Taxibeat, 6 years ago in Europe and 3 years ago expanded its operations to Peru where it serves millions of rides every single month. It is already establishing its position in South America with Chile being the latest new market and Colombia following soonHow are we going to achieve that? By constantly growing our world-class engineering team and developing projects such as car-pooling, personalized services, real time pricing mechanisms, routing and dispatching algorithms and fraud detection/prevention systems. To this end we are opening a new engineering hub in Berlin that will work in close collaboration with our Data Science and Big Data teams in Athens on building the next generation of intelligent systems, serving both our analytics teams and our product teams.About the roleOur Data Science teams are at the heart of our efforts and an essential part in Beat’s aggressive growth plan and vision for the future.As a member of our Data Science team in Berlin, you will take on some of our biggest challenges and your work will impact the entire Beat experience, from making sure drivers are always available for all our customers, to helping our drivers utilize their working hours. Our team moves very fast, so you’ll have the opportunity to make an immediate difference.What you'll do day in day out:Solve complex logistics problems, so we can make our passengers happy getting from point A to point B the fastest possible.Predict the future, like modelling pickup times and forecasting supply & demand in real time.Personalize the customer’s experience, with the end result of minimizing the number of interactions between user and application.Help utilize our drivers’ working time by being in the right place at the right time.Identify many other interesting problems to solve.Working closely with engineers, designers, product managers and operations teams to iterate on solutions.What you need to have:Master's degree in Math, Statistics, Computer Science, Engineering or other quantitative discipline. Higher degrees are highly appreciated as is considerable experience with Machine Learning, Statistical Analysis, Big Data Analytics in the industry.2+ years of experience using statistical insights and software to solve real-world problems.Experience with Python or R. Additional experience and competence in software engineering are preferred. Specifically, candidates with a strong engineering background and competence in Scala or Python are highly valued.Hands-on experience with SQL, NoSQL, and Apache Hadoop, Spark or Tensorflow.A strong sense of ownership in your work.Good numerical and analytical skills with an excellent eye for detail working with qualitative and quantitative data.The desire to build, launch and iterate on products with limited direction.What's in it for youThe chance to bring in your own ideasA strong team spiritExcellent monetary benefits (a pension plan, a monthly mobility allowance for free taxi rides, subsidised public transport ticket)Have your birthday off!As part of our dedication to the diversity of our workforce, Beat is committed to Equal Employment Opportunity without regard for race, colour, national origin, ethnicity, gender, disability, sexual orientation, gender identity, or religion.","['python', 'machine-learning', 'sql', 'hadoop', 'apache-spark']"
158593,"Thu, 26 Oct 2017 13:27:36 Z",2017-10-26T13:27:36Z,mytaxi (Intelligent Apps GmbH),senior-big-data-software-engineer-m-f-berlin-mytaxi-intelligent-apps-gmbh?a=RbBuGmo8iju,"Senior Big Data Software Engineer (m/f) Berlin at mytaxi (Intelligent Apps GmbH) (Berlin, Deutschland)",https://stackoverflow.com/jobs/158593/senior-big-data-software-engineer-m-f-berlin-mytaxi-intelligent-apps-gmbh?a=RbBuGmo8iju,"About UsBeat is a platform that transforms the way people move in their cities. Tap on a button on your smartphone and you get a ride in just a few minutes.In early 2017 Mytaxi, a subsidiary of Daimler A.G, acquired Beat. Beat started its life as Taxibeat, 6 years ago in Europe and 3 years ago expanded its operations to Peru where it serves millions of rides every single month. It is already establishing its position in South America with Chile being the latest new market and Colombia following soon.How are we going to achieve that?By constantly growing our world-class engineering team and developing projects such as car-pooling, personalized services, real time pricing mechanisms, routing and dispatching algorithms and fraud detection/prevention systems. To this end we are opening a new engineering hub in Berlin that will work in close collaboration with our Data Science and Big Data teams in Athens on implementing next-generation ETL, stream processing and machine learning applications, serving both our analytics teams and our product teams.About the roleOur Big Data team is at the heart of this effort and is an essential ingredient in Beat's aggressive growth plan and vision for the future.As a senior member of our team, you will tackle some of the hardest problems and your work will impact the entire Beat experience, from making sure drivers are always available for all our customers, to helping our drivers utilize their working hours. Our team moves very fast, so you'll have the opportunity to make an immediate difference.What you'll do day in day out:Work with the data science and engineering teams in translating complex models and algorithms into production-grade software systems.Develop components that will analyse, process and react to operational feeds in near real-time, optimizing driver allocation, optimizing service pricing and preventing fraudulent use of our services in near real-time.Being agile both within and across teams, bridging software engineering and data science.What you need to have:At least one Master's degree in Math, Physics, Computer Science or Engineering. Higher degrees are a significant bonus as is considerable experience with Machine Learning, Statistical Analysis, Big Data Analytics in the industry.At least 5 years of experience in developing production-grade software using either Data Warehousing, Big Data or Machine Learning frameworks in order to solve real-world problems.Experience in developing with Scala and/or Python at an idiomatic, expert level is required. Knowledge of advanced Java or C++ is a bonus. We would favour candidates with an exceptionally strong engineering background and deep knowledge of Machine Learning algorithms and current frameworks for their application to vast datasets.At least 6 years of experience with SQL.Proven hands-on experience with Apache Hadoop, Spark, Spark Streaming. Familiarity with Tensorflow or CNTK is a bonus.A strong sense of ownership in your work.Excellent numerical and analytical skills with an excellent eye for detail working with qualitative and quantitative data.The desire to build, launch and iterate on quality products on time with minimal technical compromises under a loosely-managed working environment.What's in it for youThe chance to bring in your own ideasA strong team spiritExcellent monetary benefits (a pension plan, a monthly mobility allowance for free taxi rides, subsidised public transport ticket)Have your birthday off!As part of our dedication to the diversity of our workforce, Beat is committed to Equal Employment Opportunity without regard for race, colour, national origin, ethnicity, gender, disability, sexual orientation, gender identity, or religion.","['machine-learning', 'reactjs', 'apache-spark', 'hadoop', 'tensorflow']"
158598,"Wed, 25 Oct 2017 16:43:59 Z",2017-10-25T16:43:59Z,SumUp,senior-backend-engineer-ruby-node-erlang-sumup?a=RbHWjZ509e8,"Senior Backend Engineer - Ruby/ Node/ Erlang at SumUp (Berlin, Germany)",https://stackoverflow.com/jobs/158598/senior-backend-engineer-ruby-node-erlang-sumup?a=RbHWjZ509e8,"As part of our vision to become a truly global IT organisation, we have started to build out local, autonomous, cross-functional teams that can take an aspect of our product and perfect it from concept to execution. As Senior Backend Engineer, you will be part of the on of the most strategic teams: Merchants Acquisition - acquisition on all channels, e-commerce and on-boarding experience.Your role and responsibilitiesBe a technical leader within your team.Participate in API design and implementation for both internal APIs and those exposed to our third-party integrators.Provide thoughtful and comprehensive documentation and testing for your features before shipping them.Design, implement, and iteratively improve new backend services.Maintain and extend existing backend services (written in Ruby or Node).Collaborate with other software, QA and sysops engineers to ensure smooth deployment, continual operation and support for quality software.Coach and mentor other engineers to increase their abilities and productivity.Actively provide code review feedback to other software engineers, considering both style and implementation.RequirementsB.S. or M.S. Degree in Computer Science or a related field, or equivalent fundamentals5+ years of experience in a software engineering role;Experience with one or more of the following languages: Javascript on the Back (Node.js), Ruby (also on the Rails), Erlang/ ElixirExperience with microservices architecture and Restful APIsExperience with GitExperience with SQL (PostgreSQL)Experience within Linux/Unix environment (comfortable working with a CLI)Solid OOP and FP skillsSolid debugging, optimisation and problem-solving skillsSelf-motivated, proactive and engaged attitude towards projectsAbility to write clear and concise code that your teammates can understand and build uponA strong candidate will also have:Good working knowledge of message brokers - RabbitMQ, KafkaContribution to open source projects or personal projects is desirableExperience working in an international, distributed teamBenefitsResponsibility and empowerment from day one.Competitive compensation and education budget.Visa and relocation support for a smooth transition to living and working in Berlin.Participate in our weekly developer events, like Lunch & Learn and Hack Fridays.Close, welcoming, and international community of 130 people from over 30 countries; we get together regularly for brunches, cocktail nights, football, yoga, German classes, and office parties.At least one off-site every year, where the tech teams from Berlin, Sofia, and São Paulo gather to hack together. In the past we've gone to Bulgaria and Greece.Be part of one of Berlin's most exciting startups, on a mission to take over the world.If you want to know what it’s like to work at SumUp check our careers page: https://sumup.com/careersIf there's something you'd like to ask, feel free to get in touch: careers@sumup.com","['ruby', 'oop', 'erlang', 'node.js', 'restful']"
158594,"Wed, 25 Oct 2017 16:43:30 Z",2017-10-25T16:43:30Z,SumUp,senior-frontend-engineer-react-node-sumup?a=RbCMBSVvsTC,"Senior Frontend Engineer - React/Node at SumUp (Berlin, Germany)",https://stackoverflow.com/jobs/158594/senior-frontend-engineer-react-node-sumup?a=RbCMBSVvsTC,"Today, hundreds of thousands of small businesses in 30 countries around the world rely on SumUp to get paid. But we won’t stop there. By the end of the year SumUp will expand into 16 more markets! If you think you've got what it takes to disrupt the payments industry — join us.You'll fit in perfectly to our team if:You not only love coding, but also take the time to reflect on the benefits and drawbacks of your tools, be they frameworks, languages, or processes.You strive for clean code, but also know how to make your ""shortcuts"" easy to delete in a crunch.You know what to test, why to test it, and how to write flexible tests that won't break with minor changes.You're comfortable working in a Linux environment.You have experience with or interest in Functional Programming techniques.You know how to make pragmatic programming decisions in a complex codebase.You care about user interaction, usability, and of course – making the interface beautiful.In general, technology excites you and you strive to learn something on a daily basis!Your impact at SumUpYou'll shape some of the core experiences of our merchants: from their first impression on our website, to the web-based features that make them loyal to our platform. Here are some of the things you'll be doing at SumUp:Write pragmatic, testable code that works on different devices, OSes, and browsers.Work with a cross-functional team to ship on a weekly basis.Contribute to our React component library and build new features in our merchant-facing SPA.Collaborate with product and design departments to build maintainable, usable, and beautiful features.Share your knowledge with other developers through pair programming.Participate in architectural decisions and crafting our long-term technical strategy.Take initiative in pushing projects forward, while validating and communicating your ideas with the team.Help us continue to develop our open-source projects and culture.Required qualifications:4-5 years professional experienceComputer Science fundamentals (e.g., data structures, data transformation, function composition, etc.)Strong foundation in LinuxExperience building a non-trivial Single Page Application (SPA) (Angular or React preferable)Ability to implement design specs precisely with (S)CSSAbility to communicate fluently about technical topics in EnglishExperience working with Node and relational databasesA strong candidate will also have:5+ years development experienceExperience in at least one server-side programming language besides JavascriptMore reasons to work at SumUpDedicated budget for attending conferences.Weekly Lunch and Learn session, where the local dev team exchanges technical ideas over company-sponsored lunch.Stay creative! Spend your Friday afternoons hacking on a side project of your choosing.We do at least one off-site every year, where the tech teams from Berlin, Sofia, and São Paulo gather to hack together. In the past we've gone to Bulgaria and Greece.Our lean processes allow us to ship new features and functionality on a weekly basis.Infrequent regular meetings – most days you'll do a standup and get to work.We have a close, welcoming, and international community; we get together regularly for brunches, cocktail nights, football, yoga, and office parties.All the startup swag you expect: kicker table, beer in the fridge, and a shiny MacBook Pro.If you want to know what it’s like to work at SumUp check our careers page: https://sumup.com/careersIf there's something you'd like to ask, feel free to get in touch: careers@sumup.com","['reactjs', 'linux', 'javascript', 'node.js', 'angularjs']"
158599,"Wed, 25 Oct 2017 16:43:03 Z",2017-10-25T16:43:03Z,SumUp,software-engineer-qt-c-plus-plus-sumup?a=RbJefvCnjOg,"Software Engineer - Qt, C++ at SumUp (Berlin, Germany)",https://stackoverflow.com/jobs/158599/software-engineer-qt-c-plus-plus-sumup?a=RbJefvCnjOg,"As part of SumUp, you will develop state of the art payment terminals and terminal accessories by working closely with our hardware/software/mechanical team, marketing, and manufacturing partners, to architect, beautifully design, and certify for payment and security specifications. In addition, you will contribute to the unique SumUp culture that is all about the people that share the same vision.ResponsibilitiesDesign the graphic user interface of SumUp’s next generation product;Define specification, implementation and testing of the GUI on an embedded platform;Technical analysis, verification and validation of the software;Execute of code and architecture reviews to ensure the quality of implemented solutions;Bring your experience to develop software on embedded operation systems and bare-metal systems.RequirementsMinimum 5 years of professional experience in software development;Enthusiastic and experienced on Qt and C/C++;Experience with touch display software development;Ability to thrive in a dynamic work environment;Passionate and excited to tackle new challenges everyday;You have successfully completed your studies in computer science or possess an equivalent qualification.BenefitsFlat hierarchies and the opportunity to have an impact, irrespective of your job description;A convenient location in the heart of Mitte at U-Bahn Oranienburger Tor;Our office has a strong sense of community; we get together regularly for brunches, cocktail nights, soccer, and yoga;Our team comes from 24 different countries creating a fun, international environment;All the startup swag you expect: kicker table, table tennis, beer in the fridge, German lessons, and more!Feel free to contact us for more info on our careers!Here: careers@sumup.com","['embedded', 'c++', 'c', 'qt', 'user-interface']"
152647,"Wed, 25 Oct 2017 15:07:25 Z",2017-10-25T15:07:25Z,Fosanis GmbH,senior-python-web-developer-who-enjoys-creating-fosanis-gmbh?a=PbY9RPJZnqg,"Senior Python Web Developer who enjoys creating new digital health services at Fosanis GmbH (Berlin, Germany)",https://stackoverflow.com/jobs/152647/senior-python-web-developer-who-enjoys-creating-fosanis-gmbh?a=PbY9RPJZnqg,"Driven by the vision to improve well-being and therapy outcomes of cancer patients, we are creating a digital companion for cancer patients. As Senior Python Web Developer you will become a key player in our dynamic team. We are a young and spirited telemedicine company with our headquarter in Europe's startup capital and the passion to making a difference for cancer patients.We care! – Do you?Some of the stuff you would do:Contribute to the backend development of our platform using state of the art technologiesDesign and implement core featuresJoint responsibility for architecture, development and operation of the platformLearn something new every dayYour ideal profile - you've got most of this covered:You have experience in developing web applications using Python, preferably with Django and technologies such as PostgreSQL, Redis, MongoDB and RabbitMQYou are familiar with modern infrastructure and tooling, e.g. Docker, Swarm, Consul, Jenkins and gitYou have sound knowledge in test-driven development, security and resilience for high-quality, highly available applicationsYou enjoy working in a small, effective cross-functional teamYou have contributed to Open Source projects or realized private development projectsYou are a team player with excellent communication skills but can also work on your ownYou communicate fluently in English - German is a plusWhat we offer:An entrepreneurial and dynamic environment in which you can make an important contribution to improving cancer careFlat hierarchies, a great team and transparent communicationAn attractive compensationWorkplace in the heart of BerlinDoes this sound exciting to you? Do you want to join a young and fast-growing company with the vision to improve patients’ lives? Send your application to jobs@fosanis.de - even if this is not the job for you – we are hiring for other positions (e.g. Frontend Developer, DevOps Engineer) as well!We are looking forward to getting to know you!","['python', 'django', 'postgresql', 'docker', 'neo4j']"
158579,"Wed, 25 Oct 2017 14:58:09 Z",2017-10-25T14:58:09Z,GetYourGuide AG,senior-devops-engineer-developer-productivity-getyourguide-ag?a=RbjrH0QTU9G,"Senior DevOps Engineer - Developer Productivity at GetYourGuide AG (Berlin, Germany)",https://stackoverflow.com/jobs/158579/senior-devops-engineer-developer-productivity-getyourguide-ag?a=RbjrH0QTU9G,"As a Senior DevOps Engineer, you will be part of an empowered team that plays a key part in building and enhancing our future cloud and container-based infrastructure. You will work closely together with engineers from other teams and help them to successfully run their code on the platform we provide.About GetYourGuide:With 400+ employees from 50 nationalities, GetYourGuide is on a mission to turn trips into amazing experiences, using our product and technology to change the way travelers find and book things to do and explore their destination. We connect these travelers to our vast catalog of amazing experiences through our online marketplace.Team Mission:The DevOps team plays a central role in scaling, automating and managing core parts of our cloud-based infrastructure. We act as ""engineers for the engineers,"" helping others understand and leverage the architecture and platform underlying their features. We are currently moving to a modern, container-based microservice architecture. We use technologies such as AWS, Linux, Drone, MySQL, GitHub, Docker and Kubernetes.Responsibilities:Develop software that helps with our automation and facilitates deployment for other teamsWork on and drive initiatives that enable our developers to ship often with increasing qualityHelp engineers to operate and monitor services in productionSupport the DevOps team in ensuring high availability of production and pre-production systemsRequirements:Experience with automating deployment and integration pipelines using technologies like Drone, GitHub and DockerExperience in Linux operating systems and shell scriptingStrong coding skills in at least one programming language. We use Ruby, Python, and PHP among othersGood understanding of distributed systems and container technologyPositive, pro-active team player who is passionate about their craft and cares about helping the team deliverWritten and verbal communication skills with the ability to clearly explain technical concepts to others in English.Service-minded personality that takes pride in making it easier and faster for other developers to ship their workYou enjoy solving problems using open source softwareWe Offer:Work on a product that helps create memorable travel experiencesSmart, engaged co-workersSpeak English in the office with an international teamVirtual stock options - be part of our success storyMonthly Hackathons and weekly tech talksAnnual external training budget - be constantly learningWell stocked kitchenGetYourGuide vouchersRelocation AssistanceWe believe that diversity of experience, perspectives, and background are key to creating a great product and a great workplace.Curious?Do you have the skills for the job, enthusiasm about our vision and fit our culture? We are looking forward to hearing from you! For any further questions regarding this position contact us via jobs@getyourguide.com.In the meantime, you can check our blog to see what happens behind the scenes at GetYourGuide and check out Tech Radar for an insight into the stack we use to turn trips into amazing experiences!","['docker', 'linux', 'amazon-web-services', 'drone', 'kubernetes']"
158536,"Wed, 25 Oct 2017 07:51:22 Z",2017-10-25T07:51:22Z,Valsight GmbH,software-engineer-react-frontend-m-f-valsight-gmbh?a=Raq0NrHPz68,"Software Engineer / React Frontend (m/f) at Valsight GmbH (Berlin, Germany)",https://stackoverflow.com/jobs/158536/software-engineer-react-frontend-m-f-valsight-gmbh?a=Raq0NrHPz68,"For the growth of our product, we are looking for skilled software engineers for our frontend. If you take software development seriously and you're ready to work on an enterprise-level product, this is the right place for you! You will work in our new office in Berlin / City West with about 15 other employees that share a passion for technology.ResponsibilitiesWork in a growing development team developing new products and featuresCreate pull requests with high-quality code & test coverageReview your colleague's code and provide valuable feedback in their pull requestsAdhere to our team’s development practices and agile process (and influence these through regular retrospectives!)Proudly present the work of the development team in release demosBecome intimately familiar with complex user workflows and problems, and find the most suitable solutionCandidate ProfileExperience writing stateful web applications in Javascript or TypescriptExperience with the React framework or similar frameworksExpert knowledge of HTML, CSS, the DOM and browser APIsYou know how to get the last bit of performance out of an app using Chrome DevToolsExperience with unit and integration testing of browser-based Javascript (we use Jest and Chimp/Mocha)Experience with SCM-based development workflows (we use git flow & pull requests)An appreciation of functional programming conceptsA strong interest in new technologiesA self-driven hands-on mentalityFluent in English","['reactjs', 'typescript', 'redux', 'sass']"
156066,"Tue, 24 Oct 2017 16:15:03 Z",2017-10-24T16:15:03Z,mytaxi (Intelligent Apps GmbH),java-developer-wanted-for-leading-e-hailing-app-mytaxi-intelligent-apps-gmbh?a=Ql3N5a8JXLq,"Java Developer wanted for leading e-hailing app in Berlin at mytaxi (Intelligent Apps GmbH) (Berlin, Deutschland)",https://stackoverflow.com/jobs/156066/java-developer-wanted-for-leading-e-hailing-app-mytaxi-intelligent-apps-gmbh?a=Ql3N5a8JXLq,"As of now we are looking to recruit a highly motivated and experienced Java Developer (m/f) for our new development hub in Barcelona. You will work in an agile and interdisciplinary team, closely and remotely together with our product department in Hamburg and make a contribution to the development of our main products.Job job = Job.builder(); JobOffer jobOffer = new JobOffer();setProducts (IN_HOUSE_APPS, BUSINESS_INTELLIGENCE, MOBILE_APPS)setProductType(SCALABLE_HIGH_AVAILABILITY_SYSTEM)setDevelopmentStyle(AGILE_SCRUM)setTeamAttributes( MOTIVATED, INNOVATIVE, WILLINGNESS_TO_TRAVEL, FLAT_HIERARCHIES, INTERDISCIPLINARY)build();jobOffer.addJob(job); Candidate candidate = Candidate.builder()hasDegreeInComputerSciencesOrSimilar(true)add(Skill.JAVA.experience(SEVERAL_YEARS))add(Skill.SOFTWARE_DESIGN.experience(SEVERAL_YEARS))add(Skill.REST)add(Skill.MICRO_SERVICES)add(Skill.SCRUM)add(Skill.DEV_OPS)setLanguages(Locale.ENGLISH, Locale.SPANISH)build();new Application(candidate).submit();","['java', 'spring', 'hibernate', 'amazon-web-services', 'docker']"
